Locale_code	en_US	ja_JP	zh_CN	zh_TW
bbb.startrecording.toolbarbutton.tooltip	Record Lecture	録画	课程录影	錄影
bbb.testWindow.enterButton	Enter Classroom	教室に入る	进入课堂	進入教室
bbb.testWindow.hold	Open Mic	押す	按	按
bbb.testWindow.micInstruction	Press the Open Mic button and talk into your microphone. You should hear your voice.	下のボタンを長押して話してください。 自分の音声が聞こえるはずです。	请长按下面的按钮并且讲话来测试麦克风. 你应该听到自己的声音	請長按下面的按鈕並且講話來測試麥克風. 你應該聽到自己的聲音
bbb.testWindow.micTitle	Microphone Test	マイクテスト	麦克风测试	麥克風測試
bbb.testWindow.nextButton	Next	次へ	下一步	下一步
bbb.testWindow.prevButton	Previous	戻す	上一步	上一步
bbb.testWindow.publishButton	Publish	公開	发布	發佈
bbb.testWindow.speakerInstruction	Press button to check your speaker. You should hear music playing.	このボタンをクリックして、スピーカテストを開始してください。音楽が聞こえるはずです。	请按下这个按钮来测试音箱. 你应该听到音乐	請按下這個按鈕來測試喇叭. 你應該聽到音樂
bbb.testWindow.speakerTitle	Speaker Test	サウンドテスト	音箱测试	喇叭測試
bbb.testWindow.talk	Talk	話す	讲	講
bbb.testWindow.videoInstruction	Select camera and resolution. Click publish to share your video with all participants.	自分の映像が正しく下の枠に表示するのかを、ご確認ください。	请确认自己的视讯在下方的显示栏中	請確認自己的視訊在下方的顯示欄中
bbb.testWindow.videoTitle	Camera Preview	ビデオプレビュー	相机预览	視訊預覽
bbb.toolbar.chat	Chat	チャット	交谈	交談
bbb.toolbar.deskshare.toolTip	Share My Desktop	デスクトップを共有	共享桌面	桌面共享
bbb.toolbar.logout	Logout	ログアウト	退出	登出
bbb.toolbar.mic	Mute	ミュート	靜音	靜音
bbb.toolbar.more	More	もっと	更多	更多
bbb.toolbar.participant	Attendees	参加者	 參與者	參與者
bbb.toolbar.phone.toolTip	Share My Microphone	マイクを利用	打开麦克风	打開麥克風
bbb.toolbar.setting	Setting	オプション	設定	設定
bbb.toolbar.snapshot	Snapshot	スナップショット	快照	快照
bbb.toolbar.speaker	Speaker	スピーカー	扩音器	擴音器
bbb.toolbar.video	Video	ビデオ	视频	視訊
bbb.toolbar.video.toolTip	Share My Camera	ウェブカメラを利用	打开摄像头	開啟視訊
bbb.toolbar.whiteboard	Whiteboard	ホワイトボード	白板	白板
bbb.video.fitVideoBtn.tooltip	Fit video	ビデオに合わせる	调整视频大小	調整視訊大小
bbb.video.keepAspectBtn.tooltip	Keep window aspect	ウィンドウ比率を保持	保持窗口外观	保持窗窗外觀
bbb.video.message	Voice Call	音声通話中	语音通话中	語音通話中
bbb.video.originalSizeBtn.tooltip	Original size	オリジナルサイズ	原来大小	原來大小
bbb.video.publish.close.label	Close	閉じる	关闭	關閉
bbb.video.publish.close.tooltip	Stop sharing your video	ウェブカメラを無効にする	停止共享视频	停止視訊
bbb.video.publish.hint.cameraDenied	Camera access denied	カメラへのアクセスが拒否されました	请求摄像头被拒绝	選取的視訊被拒絕
bbb.video.publish.hint.cameraIsBeingUsed	Your camera is being used by another application	あなたのカメラは他のアプリケーションによって使用中です	摄像头已被使用， 请先关闭使用中的摄像後再试一次	視訊已被使用， 請先關閉使用中的視訊後再試一次
bbb.video.publish.hint.cantOpenCamera	Can't open your camera	あなたのカメラを有効にできません	打不开摄像头	視訊無法開啟
bbb.video.publish.hint.noCamera	No camera available	カメラがありません	没有摄像头	沒有視訊
bbb.video.publish.hint.openingCamera	Opening camera...	カメラを有効にしています・・・	摄像头开启中...	視訊開啓中...
bbb.video.publish.hint.permissionDenied	Please set the Flash Player video access permissions allow	ビデオを許可するように設定し、Flash Playerのアクセスを許可してください	请将Flash Player存取摄像头的权限设为允许	請將Flash Player存取視訊的權限設為允許
bbb.video.publish.hint.publishing	Publishing...	公開中・・・	发布中...	發布中...
bbb.video.publish.hint.videoPreview	Video preview	ビデオプレビュー	视频预览	視訊預覽
bbb.video.publish.hint.waitingApproval	Waiting for approval. Make sure you have allowed browser camera access.	承認待ち	等候批准	等候批准
bbb.videodock.title	Video dock	ビデオ	视频区	視訊列表
bbb.videoSettings	can you watch the yourself video?	自分の映像が見えますか？	請問有看見自己的影像嗎？	請問有看見自己的影像嗎？
bbb.viewers.assistantBtn.label	Mic Control	音声制御権	指派控制權	指派控制權
bbb.viewers.assistantBtn.toolTip	Allow control of viewer mics	音声制御をユーザーに授権	授权为助理	授權使用者控制音訊
bbb.viewers.image.moderator	Moderator	教師	老師	老師
bbb.viewers.image.viewer	Participant	生徒	學生	學生
bbb.viewers.kickUserBtn.toolTip	Kick User	このユーザのマイクを無効にします。	踢出用户	強制讓使用者離開
bbb.viewers.presentBtn.label	Full Control	ユーザ使用権	指派分享權	指派分享權
bbb.viewers.presentBtn.toolTip	Allow control of deskshare, whiteboard, mics	ホワイトボード機能をユーザーに授権	授权为演讲人	授權使用者控制白板
bbb.viewers.raiseHandBtn.toolTip	Click to raise hand.	クリックして挙手。	举手	舉手
bbb.viewers.title	Users{0} {1}	ユーザー{0} {1}	用户{0} {1}	使用者列表{0} {1}
bbb.viewers.viewersGrid.nameItemRenderer	Name	ユーザー名	用户名	使用者
bbb.viewers.viewersGrid.nameItemRenderer.nameLabel.toolTip	You are logged in as this user.	あなたはこのユーザーとしてログインしています。	您以本用户名登陆	您以使用者登入
bbb.viewers.viewersGrid.nameItemRenderer.you	You	あなた	您	您
bbb.viewers.viewersGrid.roleItemRenderer	Role	役割	角色	角色
bbb.viewers.viewersGrid.statusItemRenderer	Status	状態	状态	狀態
bbb.viewers.viewersGrid.statusItemRenderer.assiIcon.toolTip	Make Assistant	アシスタント	助理	助理
bbb.viewers.viewersGrid.statusItemRenderer.presIcon.toolTip	Make Presenter	プレゼンター	演讲人	演講者
bbb.viewers.viewersGrid.statusItemRenderer.raiseHand.toolTip	Hand Raised on {0}	挙手数 {0}	{0} 在举手	在 {0} 舉手
bbb.viewers.viewersGrid.statusItemRenderer.streamIcon.toolTip	Click to view.	クリックして閲覧	查看	查看
bbb.warning.connectingInfo	Voice Connecting.......	音声通話中	语音连线中⋯⋯	語音連線中⋯⋯
bbb.warning.networkBad	Network Signal Weak	弱いネットワーク信号	網路延遲	網路延遲
bbb.youtube.pauseInfo	Presenter pause the video	プレゼンターが、動画を一時停止します。	主讲人将影片暂停	主講人將影片暫停
callPage.call	Call	通話	拨号	撥號
callPage.groupTitle	Groups	グループ	群组	群組
callPage.loginFailed.message	You have been logged in from another device	他端末からログインしました	你已经从其他装置上登入	你已經從其他裝置上登入
callPage.logout.cancel	Cancel	キャンセル	取消	取消
callPage.logout.message	Do you want to logout?	ログアウトしますか？	确定要登出吗?	確定要登出嗎?
callPage.logout.ok	Ok	はい	确定	確定
callPage.profile	Profile	個人情報	个人资料	個人資料
callPage.title	Welcome to our customer service	サポートセンターへようこそ！	欢迎来到客服中心	歡迎來到客服中心
callPage.userlistTitle	Users	ユーザー	使用者	使用者
chatPage.gotNewMsg	sent you a message!	からのメッセージ！	传讯息给您!	傳訊息給您!
chatPage.send	Send	送信	传送	傳送
contactListPage.status.title	Status	状態	状态	狀態
Default	Default	会議モード	会议模式	會議模式
failPage.back	Back	ホームに戻る	回主页面	回主頁面
failPage.connectError	Connect to sever error. Please try again or contact our customer service (Auto-reconnect in 5 seconds)	サーバーとの接続にエラーが発生しました。もう一度入力して、あるいはサポートセンターにご連絡ください。（五秒後に再接続を試みます）	连线到Server错误，请您再次输入或与客服联络（将于五秒后尝试重新连线）	連線到Server錯誤，請您再次輸入或與客服聯絡（將於五秒後嘗試重新連線）
failPage.loginError	This number doesn't exist. Please try again or contact our customer service	無効な電話番号です。もう一度入力して、或いはサポートセンターにご連絡ください。	无此号码，请您再次输入或与客服联络	無此號碼，請您再次輸入或與客服聯絡
failPage.loginNetworkError	Please check your network connection and try again	ネットワーク接続を確認し、もう一度お試しください。	请检查您的网路连线，并再试一次	請檢查您的網路連線，並再試一次
failPage.networkError	Please check your network connection and try again (Auto-reconnect in 5 seconds)	ネットワーク接続を確認し、もう一度お試しください。（5秒後に再接続を試みます）	请检查您的网路连线，并再试一次（将于五秒后尝试重新连线）	請檢查您的網路連線，並再試一次（將於五秒後嘗試重新連線）
failPage.reconnect	Reconnect	再接続	重新连线	重新連線
failPage.serverPortChecking	Checking network connection...	ネットワーク接続を確認中…	检查网路连线中⋯⋯	檢查網路連線中⋯⋯
failPage.serverPortError	Server Connection Failed. Please try again. ({0})	サーバーとの接続に失敗しました。再接続をお試しください。（{0}）	伺服器连线失败。请尝试重新连线。 （{0}）	伺服器連線失敗。請嘗試重新連線。（{0}）
FullVideo	Video Mode	ビデオモード	视频模式	視訊模式
incomingcallPage.accept	Accept	応答	接通	接通
incomingcallPage.info	 Incoming call from	…からの着信	来电...	來電...
incomingcallPage.reject	Reject	拒否	拒接	拒接
Lecture	Lecture	ホワイトボードモード	白板模式	白板模式
loginPage.account	Account	アカウント	帐号	帳號
loginPage.loggingIn	Login...	ログイン中…	登入中...	登入中...
loginPage.login	Login	ログイン	登入	登入
loginPage.password	Password	パスワード	密码	密碼
loginPage.phone	Phone Number:	電話番号	电话:	電話:
loginPage.username	User Name:	ユーザー名:	使用者名称：	使用者名稱：
mainHeader	Cloudpe-Contact	Cloudpe-Contact	Cloudpe-Contact	Cloudpe-Contact
messagePage.back	Back	コンタクトリストに戻る	回联络人清单	回聯絡人清單
navigator.chat.title	Chats	チャット	聊天	聊天
navigator.contactlist.title	Contacts	コンタクト	联络人	聯絡人
navigator.login.title	Login	ログイン	登入	登入
navigator.recents.title	Recents	会議リスト	会议列表	會議列表
navigator.recordings.title	Recordings	録画	录影	錄影
navigator.setting.title	Setting	設定	设定	設定
onCallingPage.call	Calling	と通話	打电话给	打電話給
onCallingPage.finishMeeting	Finish Meeting	会議を終了	结束会议	結束會議
onCallingPage.hangup	Hang Up	通話終了	结束通话	結束通話
onCallingPage.noAnswer	 is not answering.	不在着信	未接电话	未接電話
recentsPage.btnJoin	Join	参加	加入	加入
recentsPage.ended	Ended	通話はもう終了しました。	通话已结束	通話已結束
recentsPage.missing	Missing Call	不在着信	未接通话	未接通話
recentsPage.onGoing	Ongoing	通話中	通话进行中	通話進行中
recentsPage.titleAll	All	全ての通話	所有通话	所有通話
recentsPage.titleOngoing	Ongoing	通話中	通话进行中	通話進行中
settingPage.language	Language	言語設定	语系	語系
settingPage.logout	Logout	ログアウト	登出	登出
updateVersionView.content	The new version of\nCloudpe-Meet is available.\nPlease update to version {0} now.	新バージョンのCloudpe-Meetはもうダウンロードできます。最新バージョン{0}にアップデートしてください。	新版本的 Cloudpe-Meet 已供下载。 \n请立即更新版本 {0} 。	新版本的 Cloudpe-Meet 已供下載。 \n請立即更新版本 {0} 。
updateVersionView.title	App Version Out of Date	アプリケーションバージョンの有効期限が切れています。	应用程式版本已逾期	應用程式版本已逾期
Video	Video	ビデオ	视频	視訊
